message;severity;node;stamp;location 
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.096340])";"30";"turtlesim2.sim";"1697180088.572308216";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.096340])";"30";"turtlesim3.sim";"1697180088.559082524";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.096852])";"30";"turtlesim2.sim";"1697180088.556511359";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.096852])";"30";"turtlesim3.sim";"1697180088.542716594";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.097364])";"30";"turtlesim2.sim";"1697180088.540898341";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.097364])";"30";"turtlesim3.sim";"1697180088.526777282";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.097876])";"30";"turtlesim2.sim";"1697180088.524911812";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.097876])";"30";"turtlesim3.sim";"1697180088.511244859";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.098388])";"30";"turtlesim2.sim";"1697180088.508204398";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.098388])";"30";"turtlesim3.sim";"1697180088.494662413";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.098900])";"30";"turtlesim2.sim";"1697180088.492449249";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.098900])";"30";"turtlesim3.sim";"1697180088.478551458";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.099412])";"30";"turtlesim2.sim";"1697180088.476681400";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.096340])";"30";"turtlesim1.sim";"1697180088.463751625";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.099412])";"30";"turtlesim3.sim";"1697180088.463097320";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.099924])";"30";"turtlesim2.sim";"1697180088.460568766";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.096852])";"30";"turtlesim1.sim";"1697180088.448381819";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.099924])";"30";"turtlesim3.sim";"1697180088.446972210";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.100436])";"30";"turtlesim2.sim";"1697180088.444974136";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.097364])";"30";"turtlesim1.sim";"1697180088.432044532";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.100436])";"30";"turtlesim3.sim";"1697180088.430527231";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.100948])";"30";"turtlesim2.sim";"1697180088.428441248";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.097876])";"30";"turtlesim1.sim";"1697180088.416206608";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.100948])";"30";"turtlesim3.sim";"1697180088.415204646";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.101460])";"30";"turtlesim2.sim";"1697180088.412236782";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.098388])";"30";"turtlesim1.sim";"1697180088.400203721";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.101460])";"30";"turtlesim3.sim";"1697180088.398708374";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.101972])";"30";"turtlesim2.sim";"1697180088.396191066";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.098900])";"30";"turtlesim1.sim";"1697180088.384628343";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.101972])";"30";"turtlesim3.sim";"1697180088.382845192";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.102483])";"30";"turtlesim2.sim";"1697180088.380607945";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.099412])";"30";"turtlesim1.sim";"1697180088.367681575";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.102483])";"30";"turtlesim3.sim";"1697180088.366985634";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.102995])";"30";"turtlesim2.sim";"1697180088.364979715";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.099924])";"30";"turtlesim1.sim";"1697180088.353457298";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.102995])";"30";"turtlesim3.sim";"1697180088.350662985";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.103507])";"30";"turtlesim2.sim";"1697180088.348466820";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.100436])";"30";"turtlesim1.sim";"1697180088.336436517";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.103507])";"30";"turtlesim3.sim";"1697180088.335072260";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.104019])";"30";"turtlesim2.sim";"1697180088.332878494";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.100948])";"30";"turtlesim1.sim";"1697180088.320704356";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.104019])";"30";"turtlesim3.sim";"1697180088.319299641";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.104531])";"30";"turtlesim2.sim";"1697180088.316329870";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.101460])";"30";"turtlesim1.sim";"1697180088.304122353";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.104531])";"30";"turtlesim3.sim";"1697180088.302778090";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.105043])";"30";"turtlesim2.sim";"1697180088.300716016";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.101972])";"30";"turtlesim1.sim";"1697180088.289011582";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.105043])";"30";"turtlesim3.sim";"1697180088.287274200";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120885, y=6.105555])";"30";"turtlesim2.sim";"1697180088.284207721";"./src/turtle.cpp:update:260"
